"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
16,"GREGORIO MENTABERRE;CARLOS GUTIÉRREZ;NOÉ F RODRÍGUEZ;SUNITHA JOSEPH;DAVID GONZÁLEZ-BARRIO;OSCAR CABEZÓN;JOSÉ DE LA FUENTE;CHRISTIAN GORTAZAR;MARIANA BOADELLA","ENG","JOURNAL ARTICLE",2013-08-09,"VET MICROBIOL77054690378-1135","BACTERIA;DROMEDARY CAMEL;PARASITE;SEROSURVEY;VIRUS"
17,"YONGNING ZHANG;SHAOQIANG WU;JIANCHANG WANG;KERSTIN WERNIKE;JIZHOU LV;CHUNYAN FENG;JIHONG ZHANG;CAIXIA WANG;JUNHUA DENG;XIANGFEN YUAN;XIANGMEI LIN","ENG","JOURNAL ARTICLE",2013-08-26,"UNITED STATESPROTEIN EXPR PURIF91014961046-5928","EPITOPE;MONOCLONAL ANTIBODY (MAB);NUCLEOCAPSID (N) PROTEIN;SCHMALLENBERG VIRUS (SBV)"
18,"FRÉDÉRIC BALDACCHINO;VITHEE MUENWORN;MARC DESQUESNES;FLORIAN DESOLI;THEERAPHAP CHAROENVIRIYAPHAP;GÉRARD DUVALLET","ENG","JOURNAL ARTICLE",2013-08-29,"PARASITE94370941252-607X",""
19,"ANNA MARIA COPELAND;LOUIS A ALTAMURA;NICOLE M VAN DEUSEN;CONNIE S SCHMALJOHN","ENG","JOURNAL ARTICLE",2013-08-21,"UNITED STATESJ VIROL01137240022-538X",""
20,"BIRTE KALVERAM;OLGA LIHORADOVA;SABARISH V INDRAN;JENNIFER A HEAD;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;VIDEO-AUDIO MEDIA",2013-08-09,"UNITED STATESJ VIS EXP1013132521940-087X",""
21,"BONTO FABURAY;WILLIAM WILSON;D SCOTT MCVEY;BARBARA S DROLET;HANA WEINGARTL;DANIEL MADDEN;ALAN YOUNG;WENJUN MA;JUERGEN A RICHT","ENG","JOURNAL ARTICLE",2013-08-20,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
22,"MOHAMED M SOWILEM;HANY A KAMAL;EMAD I KHATER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"MALAYSIATROP BIOMED85070860127-5720",""
23,"ROBERT D SUMAYE;EVELINE GEUBBELS;EDGAR MBEYELA;DIRK BERKVENS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-08-08,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
24,"M J TURELL;B D BYRD;B A HARRISON","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
25,"SHOSHANA NEWMAN-GERHARDT;SAMUEL MUIRURI;ERIC MUCHIRI;CLARENCE J PETERS;JOHN MORRILL;ALEXANDER H LUCAS;CHARLES H KING;JAMES KAZURA;ANGELLE DESIREE LABEAUD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-08-05,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
