"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
199,"BIRTE KALVERAM;OLGA LIHORADOVA;SABARISH V INDRAN;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;VIDEO-AUDIO MEDIA",2011-11-01,"UNITED STATESJ VIS EXP1013132521940-087X",""
200,"JOSÉ-CARLOS FERNANDEZ;AGNÈS BILLECOCQ;JEAN PAUL DURAND;CATHERINE CÊTRE-SOSSAH;ERIC CARDINALE;PHILIPPE MARIANNEAU;MICHEL PÉPIN;NOËL TORDO;MICHÈLE BOULOY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-11-09,"UNITED STATESCLIN VACCINE IMMUNOL1012521251556-679X",""
201,"REKHA G PANCHAL;ST PATRICK REID;JULIE P TRAN;ALISON A BERGERON;JAY WELLS;KRISHNA P KOTA;JAVAD AMAN;SINA BAVARI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2011-10-18,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
202,"HYUN-JOO KIM;JIN-JU NAH;JIN-SAN MOON;YOUNG-JOON KO;HAN-SANG YOO;CHANG-HEE KWEON","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-10-20,"JAPANJ VET MED SCI91053600916-7250",""
203,"ANITA K MCELROY;STUART T NICHOL","ENG","JOURNAL ARTICLE",2011-10-22,"UNITED STATESVIROLOGY01106740042-6822",""
204,"AHMED B O EL MAMY;MOHAMED OULD BABA;YAHYA BARRY;KATIA ISSELMOU;MAMADOU L DIA;MOHAMED O B EL KORY;MARIAM DIOP;MODOU MOUSTAPHA LO;YAYA THIONGANE;MOHAMMED BENGOUMI;LILIAN PUECH;LUDOVIC PLEE;FILIP CLAES;STEPHANE DE LA ROCQUE;BABA DOUMBIA","ENG","JOURNAL ARTICLE",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
205,"GAVIN C BOWICK;ALEXANDER J MCAULEY","ENG","JOURNAL ARTICLE;META-ANALYSIS;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2011-05-12,"SWITZERLANDVIRUSES1015097221999-4915","EBOLA VIRUS;RIFT VALLEY FEVER VIRUS;ARENAVIRUS;BIOINFORMATICS;MICROARRAY;PROTEOMICS;VIRAL HEMORRHAGIC FEVER"
206,"OSAMA AHMED HASSAN;CLAS AHLM;ROSEMARY SANG;MAGNUS EVANDER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-09-27,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
207,"BRIAN H BIRD;LOUIS H MAARTENS;SHELLEY CAMPBELL;BALTUS J ERASMUS;BOBBIE R ERICKSON;KIMBERLY A DODD;CHRISTINA F SPIROPOULOU;DEBORAH CANNON;CLIFTON P DREW;BARBARA KNUST;ANITA K MCELROY;MARINA L KHRISTOVA;CÉSAR G ALBARIÑO;STUART T NICHOL","ENG","JOURNAL ARTICLE",2011-10-05,"UNITED STATESJ VIROL01137240022-538X",""
208,"LAURA K MCMULLAN;MIKE FRACE;SCOTT A SAMMONS;TREVOR SHOEMAKER;STEPHEN BALINANDI;JOSEPH F WAMALA;JULIUS J LUTWAMA;ROBERT G DOWNING;UTE STROEHER;ADAM MACNEIL;STUART T NICHOL","ENG","JOURNAL ARTICLE",2011-10-02,"UNITED STATESVIROLOGY01106740042-6822",""
209,"JEROEN KORTEKAAS;NADIA ORESHKOVA;VIVIANA COBOS-JIMÉNEZ;RIANKA P M VLOET;CHRISTIAAN A POTGIETER;ROB J M MOORMANN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-09-28,"UNITED STATESJ VIROL01137240022-538X",""
210,"PETRUS JANSEN VAN VUREN;CAROLINE T TIEMESSEN;JANUSZ T PAWESKA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-09-16,"UNITED STATESPLOS ONE1012850811932-6203",""
211,"JONAS NÄSLUND;ALEXANDER KERNER;PETER DROBNI;GÖRAN BUCHT;MAGNUS EVANDER;CLAS AHLM","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-09-17,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
212,"ADEL I AL-AFALEQ;MANSOUR F HUSSEIN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-09-16,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
213,"ESTELLE LARA;AGNÈS BILLECOCQ;PSYLVIA LEGER;MICHÈLE BOULOY","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-09-14,"UNITED STATESJ VIROL01137240022-538X",""
214,"BENJAMIN BRENNAN;PING LI;RICHARD M ELLIOTT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-09-07,"ENGLANDJ GEN VIROL00773400022-1317",""
215,"JEROEN KORTEKAAS;JAMES ZINGESER;PETER DE LEEUW;STEPHANE DE LA ROCQUE;HERMANN UNGER;ROB J M MOORMANN","ENG","CONGRESSES",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
216,"JAMES F PAPIN;PAULO H VERARDI;LESLIE A JONES;FRANCISCO MONGE-NAVARRO;AARON C BRAULT;MICHAEL R HOLBROOK;MELISSA N WORTHY;ALEXANDER N FREIBERG;TILAHUN D YILMA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-08-23,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
217,"CHERYL T WALTER;JOHN N BARR","ENG","JOURNAL ARTICLE;REVIEW",2011-08-24,"ENGLANDJ GEN VIROL00773400022-1317",""
218,"JING LI;DANIEL BLAKELEY;ROBERT J SMITH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-08-16,"UNITED STATESCOMPUT MATH METHODS MED1012777511748-670X",""
219,"A DESIRÉE LABEAUD;SAMUEL MUIRURI;LAURA J SUTHERLAND;SAIDI DAHIR;GINNY GILDENGORIN;JOHN MORRILL;ERIC M MUCHIRI;CLARENCE J PETERS;CHARLES H KING","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-08-16,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
220,"ROY WILLIAMS;CHARLOTTE ELIZABETH ELLIS;SHIRLEY JACQUELINE SMITH;CHRISTIAAN ABRAHAM POTGIETER;DAVID WALLACE;VUYOKAZI EPIPODIA MARELEDWANE;PHELIX ANTIPAS OCHOLA MAJIWA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;VALIDATION STUDIES",2011-07-30,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
221,"D M SHERMAN","ENG","JOURNAL ARTICLE;REVIEW",NA,"FRANCEREV SCI TECH87123010253-1933",""
222,"STEFAN W METZ;GORBEN P PIJLMAN","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESJ INVERTEBR PATHOL00140670022-2011",""
223,"DAVID M HARTLEY;JENNIFER L RINDERKNECHT;TERRY L NIPP;NEVILLE P CLARKE;GARY D SNOWDER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;REVIEW",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
224,"BENJAMIN BRENNAN;STEPHEN R WELCH;ANGELA MCLEES;RICHARD M ELLIOTT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-07-27,"UNITED STATESJ VIROL01137240022-538X",""
225,"LUKE E MEASE;RODNEY L COLDREN;LILLIAN A MUSILA;TRISH PROSSER;FREDRICK OGOLLA;VICTOR O OFULA;RANDAL J SCHOEPP;CINDY A ROSSI;NICHOLAS ADUNGO","ENG","JOURNAL ARTICLE",2011-07-27,"ENGLANDVIROL J1012316451743-422X",""
226,"JOHN C MORRILL;C J PETERS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ INFECT DIS04136750022-1899",""
227,"BRETT N ARCHER;JACQUELINE WEYER;JANUSZ PAWESKA;DELIWE NKOSI;PATRICIA LEMAN;KHIN SAN TINT;LUCILLE BLUMBERG","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
228,"PIERRE-YVES LOZACH;ANDREAS KÜHBACHER;ROGER MEIER;ROBERTA MANCINI;DAVID BITTO;MICHÈLE BOULOY;ARI HELENIUS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESCELL HOST MICROBE1013023161931-3128",""
229,"MATTHIEU ROGER;SEBASTIEN GIRARD;ABDOURAHIME FAHAROUDINE;MOHAMED HALIFA;MICHELE BOULOY;CATHERINE CETRE-SOSSAH;ERIC CARDINALE","ENG","LETTER;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
230,"ABUELYAZEED A ELSHEIKH;ELSAYED E MASOUD;MAHMOUD F MOSTAFA;MOHAMED M ELKHAWANKY","ENG","JOURNAL ARTICLE",NA,"SAUDI ARABIASAUDI MED J79094410379-5284",""
231,"H ALI;A A ALI;M S ATTA;A CEPICA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-07-07,"GERMANYTRANSBOUND EMERG DIS101319538",""
232,"JOHN C MORRILL;C J PETERS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ INFECT DIS04136750022-1899",""
233,"TETSURO IKEGAMI;SHINJI MAKINO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;REVIEW",NA,"SWITZERLANDVIRUSES1015097221999-4915","RIFT VALLEY FEVER VIRUS;BLINDNESS;ENCEPHALITIS;HEMORRHAGIC FEVER;PATHOGENESIS"
234,"BEATE VON TEICHMAN;ANITA ENGELBRECHT;GCWALISILE ZULU;BAPTISTE DUNGU;ANNE PARDINI;MICHELE BOULOY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-06-12,"NETHERLANDSVACCINE84068990264-410X",""
235,"M TURELL;K DAVÉ;M MAYDA;Z PARKER;R COLEMAN;S DAVÉ;D STRICKMAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
236,"AARTHI NARAYANAN;TAISSIA POPOVA;MICHAEL TURELL;JESSICA KIDD;JESSICA CHERTOW;SERGUEI G POPOV;CHARLES BAILEY;FATAH KASHANCHI;KYLENE KEHN-HALL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2011-05-31,"UNITED STATESPLOS ONE1012850811932-6203",""
237,"MICHIEL M HARMSEN;ADRIAAN F G ANTONIS;ROB J M MOORMANN;JEROEN KORTEKAAS","ENG","JOURNAL ARTICLE",NA,"UNITED STATESBIOENG BUGS1015251471949-1018",""
238,"SARA MOUTAILLER;BENJAMIN ROCHE;JEAN-MICHEL THIBERGE;VALÉRIE CARO;FRANÇOIS ROUGEON;ANNA-BELLA FAILLOUX","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-24,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
239,"JOSEPH M MWANGANGI;JANET MIDEGA;SAMUEL KAHINDI;LABAN NJOROGE;JOSEPH NZOVU;JOHN GITHURE;CHARLES M MBOGO;JOHN C BEIER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-31,"GERMANYPARASITOL RES87035710932-0113",""
240,"SAUL C MPESHE;HEIKKI HAARIO;JEAN M TCHUENCHE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-26,"NETHERLANDSACTA BIOTHEOR04215200001-5342",""
241,"CANDICE A STAFFORD;GREGORY P WALKER;DIANE E ULLMAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-23,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
242,"I GALINDO-CARDIEL;N BUSQUETS;R VELARDE;F X ABAD;D SOLANES;R RIVAS;R VALLE;A BRUN;M DOMINGO","ENG","JOURNAL ARTICLE",2011-05-24,"ENGLANDJ COMP PATHOL01024440021-9975",""
243,"FRANÇOIS FERRON;ZONGLI LI;ERIC I DANEK;DAHAI LUO;YEEHWA WONG;BRUNO COUTARD;VIOLAINE LANTEZ;RÉMI CHARREL;BRUNO CANARD;THOMAS WALZ;JULIEN LESCAR","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-12,"UNITED STATESPLOS PATHOG1012389211553-7366",""
244,"HANAFI A HANAFI;DAVID J FRYAUFF;MAGDI D SAAD;ATEF K SOLIMAN;EMAD W MOHAREB;IMAN MEDHAT;ABDEL BASSET ZAYED;DANIEL E SZUMLAS;KENNETH C EARHART","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2011-05-06,"NETHERLANDSACTA TROP03703740001-706X",""
245,"HANI BOSHRA;GEMA LORENZO;FERNANDO RODRIGUEZ;ALEJANDRO BRUN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-05,"NETHERLANDSVACCINE84068990264-410X",""
246,"RAPHAËLLE MÉTRAS;LISA M COLLINS;RICHARD G WHITE;SILVIA ALONSO;VÉRONIQUE CHEVALIER;CHRISTINE THURANIRA-MCKEEVER;DIRK U PFEIFFER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-05-06,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
247,"BIRTE KALVERAM;OLGA LIHORADOVA;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-05-04,"UNITED STATESJ VIROL01137240022-538X",""
248,"SERENA A CARROLL;JEAN-MARC REYNES;MARINA L KHRISTOVA;SOA FY ANDRIAMANDIMBY;PIERRE E ROLLIN;STUART T NICHOL","ENG","JOURNAL ARTICLE",2011-04-20,"UNITED STATESJ VIROL01137240022-538X",""
249,"A DESIRÉE LABEAUD;PAUL C CROSS;WAYNE M GETZ;ALLISON GLINKA;CHARLES H KING","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
250,"HANI BOSHRA;GEMA LORENZO;NÚRIA BUSQUETS;ALEJANDRO BRUN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2011-03-30,"UNITED STATESJ VIROL01137240022-538X",""
251,"MARY E PIPER;DOROTHY R SORENSON;SONJA R GERRARD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-03-21,"UNITED STATESPLOS ONE1012850811932-6203",""
252,"DESIREE LABEAUD","ENG","JOURNAL ARTICLE",NA,"FUTURE VIROL1012781241746-0794",""
253,"SENAIT KEBEDE;SAMBE DUALES;ALLARANGAR YOKOUIDE;WONDIMAGEGNEHU ALEMU","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;REVIEW",NA,"TANZANIAEAST AFR J PUBLIC HEALTH1013020400856-8960",""
254,"CLARA J WITT;ALLEN L RICHARDS;PENNY M MASUOKA;DESMOND H FOLEY;ANNA L BUCZAK;LILLIAN A MUSILA;JASON H RICHARDSON;MICHELLE G COLACICCO-MAYHUGH;LEOPOLDO M RUEDA;TERRY A KLEIN;ASSAF ANYAMBA;JENNIFER SMALL;JULIE A PAVLIN;MARK M FUKUDA;JOEL GAYDOS;KEVIN L RUSSELL;RICHARD C WILKERSON;ROBERT V GIBBONS;RICHARD G JARMAN;KHIN S MYINT;BRIAN PENDERGAST;SHERI LEWIS;JORGE E PINZON;KATHRINE COLLINS;MATTHEW SMITH;EDWIN PAK;COMPTON TUCKER;KENNETH LINTHICUM;TODD MYERS;MOUSTAFA MANSOUR;KEN EARHART;HEUNG CHUL KIM;JU JIANG;DAVE SCHNABEL;JEFFREY W CLARK;ROSEMARY C SANG;ELIZABETH KIOKO;DAVID C ABUOM;JOHN P GRIECO;ERIN E RICHARDS;STEVEN TOBIAS;MATTHEW R KASPER;JOEL M MONTGOMERY;DAVE FLORIN;JEAN-PAUL CHRETIEN;TRUDY L PHILIP","ENG","JOURNAL ARTICLE;REVIEW",2011-03-04,"ENGLANDBMC PUBLIC HEALTH1009685621471-2458",""
255,"ELISABETH MARIE JEANMAIRE;RENÉ RABENARIVAHINY;MARCELLIN BIARMANN;LALAO RABIBISOA;FLEURETTE RAVAOMANANA;TANTELY RANDRIAMPARANY;SOA FY ANDRIAMANDIMBY;CÉCILE SQUARZONI DIAW;PETER FENOZARA;STÉPHANE DE LA ROCQUE;JEAN-MARC REYNES","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-03-11,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
256,"JANICE M RUSNAK;PAUL GIBBS;ELLEN BOUDREAU;DENISE P CLIZBE;PHILLIP PITTMAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2011-02-26,"NETHERLANDSVACCINE84068990264-410X",""
257,"MICHELE MILLER;PETER BUSS;JENNY JOUBERT;NOMKHOSI MASEKO;MARKUS HOFMEYR;TRUUSKE GERDES","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESJ ZOO WILDL MED89152081042-7260",""
258,"SHANNA L ASHLEY;STEFANIE M AMERES;SONJA R GERRARD;ODED FOREMAN;KATHRYN A EATON;JASON B WEINBERG;KATHERINE R SPINDLER","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-02-12,"NETHERLANDSVIRUS RES84109790168-1702",""
259,"JUNG-YONG YEH;JI-HYE LEE;HYUN-JI SEO;JEE-YONG PARK;JIN-SAN MOON;IN-SOO CHO;IN-SOO CHOI;SEUNG-YONG PARK;CHANG-SEON SONG;JOONG-BOK LEE","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-02-09,"UNITED STATESJ CLIN MICROBIOL75055640095-1137",""
260,"R A RAKOTOARIVELO;R ANDRIANASOLO;S H RAZAFIMAHEFA;N S RANDREMANDRANTO RAZAFIMBELO;M J D RANDRIA","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",2011-02-03,"FRANCEMED MAL INFECT03114160399-077X",""
261,"M PÉPIN","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE;REVIEW",2011-02-03,"FRANCEMED MAL INFECT03114160399-077X",""
262,"A DESIREE LABEAUD;LAURA J SUTHERLAND;SAMUEL MUIRURI;ERIC M MUCHIRI;LAURIE R GRAY;PETER A ZIMMERMAN;AMY G HISE;CHARLES H KING","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
263,"MICHAEL J TURELL;DAVID J DOHM;CHRISTOPHER J GEDEN;JEROME A HOGSETTE;KENNETH J LINTHICUM","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
264,"SHAIF ABDO-SALEM;ANNELISE TRAN;VLADIMIR GROSBOIS;GUILLAUME GERBIER;MANSOOR AL-QADASI;KHALID SAEED;ERIC ETTER;ETIENNE THIRY;FRANÇOIS ROGER;VÉRONIQUE CHEVALIER","ENG","JOURNAL ARTICLE",2011-02-01,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
265,"LEONARD NDERITU;JOHN S LEE;JARED OMOLO;SYLVIA OMULO;MONICA L O'GUINN;ALLEN HIGHTOWER;FAUSTA MOSHA;MOHAMED MOHAMED;PENINAH MUNYUA;ZIPPORAH NGANGA;KELLI HIETT;BRUCE SEAL;DANIEL R FEIKIN;ROBERT F BREIMAN;M KARIUKI NJENGA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",2010-12-14,"UNITED STATESJ INFECT DIS04136750022-1899",""
266,"VIOLAINE LANTEZ;KAREN DALLE;RÉMI CHARREL;CÉCILE BARONTI;BRUNO CANARD;BRUNO COUTARD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2011-01-04,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
267,"ADEWALE A ADEYEYE;PIUS S EKONG;NICHOLAS N PILAU","ENG","JOURNAL ARTICLE",NA,"ITALYVET ITAL02015430505-401X",""
268,"A DESIRÉE LABEAUD;FATIMA BASHIR;CHARLES H KING","ENG","JOURNAL ARTICLE",2011-01-10,"ENGLANDPOPUL HEALTH METR1011784111478-7954",""
269,"MICHEL PEPIN;MICHELE BOULOY;BRIAN H BIRD;ALAN KEMP;JANUSZ PAWESKA","ENG","JOURNAL ARTICLE",NA,"FRANCEVET RES93095510928-4249",""
270,"KAORI TERASAKI;SHIN MURAKAMI;KUMARI G LOKUGAMAGE;SHINJI MAKINO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2010-12-27,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
271,"G KRIDA;L DIANCOURT;A BOUATTOUR;A RHIM;B CHERMITI;A-B FAILLOUX","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",2010-12-23,"FRANCEBULL SOC PATHOL EXOT92125640037-9085",""
272,"A F VAN DEN HURK;S B CRAIG;S M TULSIANI;C C JANSEN","ENG","JOURNAL ARTICLE;REVIEW",NA,"ENGLANDANN TROP MED PARASITOL2985178R0003-4983",""
273,"CLAIRE MARIE FILONE;SHERI L HANNA;M CECILIA CAINO;SHELLY BAMBINA;ROBERT W DOMS;SARA CHERRY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2010-11-24,"UNITED STATESPLOS ONE1012850811932-6203",""
274,"SRAVAN KAKANI;A DESIRÉE LABEAUD;CHARLES H KING","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",NA,"ITALYGEOSPAT HEALTH1013029431827-1987",""
275,"CÉCILE VIGNOLLES;YVES M TOURRE;OSCAR MORA;LAURENT IMANACHE;MURIELLE LAFAYE","ENG","JOURNAL ARTICLE",NA,"ITALYGEOSPAT HEALTH1013029431827-1987",""
276,"TAISSIA G POPOVA;MICHAEL J TURELL;VIRGINIA ESPINA;KYLENE KEHN-HALL;JESSICA KIDD;AARTHI NARAYANAN;LANCE LIOTTA;EMANUEL F PETRICOIN;FATAH KASHANCHI;CHARLES BAILEY;SERGUEI G POPOV","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2010-11-03,"UNITED STATESPLOS ONE1012850811932-6203",""
277,"JOCELYN RATOVONJATO;MARIE-MARIE OLIVE;LUCIANO MICHAEL TANTELY;LALA ANDRIANAIVOLAMBO;ETIENNE TATA;JOSETTE RAZAINIRINA;ELISABETH JEANMAIRE;JEAN-MARC REYNES;NOHAL ELISSA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2010-10-28,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
278,"ERIC F LAMBIN;ANNELISE TRAN;SOPHIE O VANWAMBEKE;CATHERINE LINARD;VALÉRIE SOTI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2010-10-27,"ENGLANDINT J HEALTH GEOGR1011521981476-072X",""
279,"SHAIF ABDO-SALEM;AGNÈS WARET-SZKUTA;FRANÇOIS ROGER;MARIE-MARIE OLIVE;KHALID SAEED;VÉRONIQUE CHEVALIER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2010-10-22,"UNITED STATESTROP ANIM HEALTH PROD12773550049-4747",""
280,"MICHAEL J TURELL;WILLIAM C WILSON;KRISTINE E BENNETT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
281,"TÂNIA ZAVERUCHA DO VALLE;AGNÈS BILLECOCQ;LAURENT GUILLEMOT;RUDI ALBERTS;CÉLINE GOMMET;ROBERT GEFFERS;KÁTIA CALABRESE;KLAUS SCHUGHART;MICHÈLE BOULOY;XAVIER MONTAGUTELLI;JEAN-JACQUES PANTHIER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2010-10-11,"UNITED STATESJ IMMUNOL2985117R0022-1767",""
282,"REUBEN K SOI;FRED R RURANGIRWA;TRAVIS C MCGUIRE;PAUL M RWAMBO;JAMES C DEMARTINI;TIMOTHY B CRAWFORD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2010-09-28,"UNITED STATESCLIN VACCINE IMMUNOL1012521251556-679X",""
283,"GIANNI GORI SAVELLINI;FRIEDEMANN WEBER;CHIARA TERROSI;MATTHIAS HABJAN;BARBARA MARTORELLI;MARIA GRAZIA CUSI","ENG","JOURNAL ARTICLE",2010-09-22,"ENGLANDJ GEN VIROL00773400022-1317",""
284,"ANTHONY R FOOKS","ENG","INTERVIEW",NA,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
285,"JEROEN KORTEKAAS;ONDER ERGÖNÜL;ROB J M MOORMANN","ENG","CONGRESSES;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
